asset_id,owner,technology,capacity_mw,commission_year,retirement_year,decision_year,design,seed
legacy-solar,legacy,solar,9000.0,2020,2045,,stylised_capacity_payment,111
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,stylised_capacity_payment,111
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,stylised_capacity_payment,111
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,stylised_capacity_payment,111
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,stylised_capacity_payment,111
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,stylised_capacity_payment,111
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,stylised_capacity_payment,111
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,stylised_capacity_payment,111
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,stylised_capacity_payment,111
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,stylised_capacity_payment,111
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,stylised_capacity_payment,111
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,stylised_capacity_payment,111
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,stylised_capacity_payment,111
