year,variable_resource_cost_gbp,demand_mwh,unserved_mwh,scarcity_hours,emissions_t,renewable_curtailment_mwh,balance_max_mw,storage_residual_max_mwh,fixed_cost_gbp,capacity_gas_mw,capacity_peaker_mw,capacity_wind_mw,capacity_solar_mw
2026,38359286007.12114,219000000.00000003,4307382.136466298,2294.285714285715,54489275.12116338,0.0,3.637978807091713e-12,2.2737367544323206e-13,1040000000.0,17000.0,3000.0,12000.0,9000.0
2027,22451841081.488052,224475000.0,1600051.8990085535,1095.0,55371090.781677134,1.4608435988908885e-09,3.637978807091713e-12,2.2737367544323206e-13,1105000000.0,17000.0,5000.0,12000.0,12500.0
2028,10795316404.107143,230086874.99999997,0.0,0.0,47259587.57276146,3.845217993716545e-10,3.637978807091713e-12,3.410605131648481e-13,1364796423.4530444,19500.0,5153.0948968696275,16000.0,16000.0
2029,9334564220.758186,235839046.87499994,0.0,0.0,40569749.404929236,110651.4392086651,3.637978807091713e-12,3.410605131648481e-13,1555965986.8397737,19000.0,5731.065789318245,20000.0,19500.0
2030,8133073437.18468,241735023.04687494,0.0,0.0,35133715.60130182,3736514.3654864146,3.637978807091713e-12,2.2737367544323206e-13,1753355210.7365286,19095.5689558702,5731.065789318245,24000.0,23000.0
2031,7264751558.580459,247778398.62304682,0.0,0.0,31153685.63593364,10973308.335251713,3.637978807091713e-12,2.2737367544323206e-13,1950059315.2996883,19095.5689558702,5844.672760195559,28000.0,26500.0
